No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
46,Morgan Cox\CoxxMo00,32,,16,0,233,6-4,Tennessee,4/26/1986,8,1,,$1000000
15,Michael Crabtree\CrabMi00,31,WR,16,16,215,6-1,Texas Tech,9/14/1987,9,5,San Francisco 49ers / 1st / 10th pick / 2009,$1000000
31,Robertson Daniel\DaniRo01,27,,1,0,205,6-1,BYUBYU,10/1/1991,2,0,,$129200
30,Kenneth Dixon\DixoKe00,24,,6,0,228,5-10,Louisiana Tech,1/21/1994,2,2,Baltimore Ravens / 4th / 134th pick / 2016,$630000
35,Gus Edwards\EdwaGu00,23,rb,11,6,238,6-1,Miami (FL)Rutgers,4/13/1995,Rook,4,,$129200
71,Jermaine Eluemunor\ElueJe00,24,t,9,1,335,6-4,Texas A&M,12/13/1994,1,1,Baltimore Ravens / 5th / 159th pick / 2017,$555000
5,Joe Flacco\FlacJo00,33,QB,9,9,245,6-6,PittsburghDelaware,1/16/1985,10,7,Baltimore Ravens / 1st / 18th pick / 2008,$12000000
84,Janarion Grant\GranJa01,25,,2,0,173,5-10,Rutgers,11/20/1993,Rook,0,,$480000
61,Hroniss Grasu\GrasHr00,27,lg,3,1,301,6-3,Oregon,8/12/1991,3,1,Chicago Bears / 3rd / 71st pick / 2015,$650588
3,Robert Griffin\GrifRo01,28,,3,0,213,6-2,Baylor,2/12/1990,6,0,Washington Redskins / 1st / 2nd pick / 2012,$1000000
69,Willie Henry\HenrWi00,24,,3,0,291,6-3,Michigan,3/20/1994,1,0,Baltimore Ravens / 4th / 132nd pick / 2016,$630000
29,Marlon Humphrey\HumpMa00,22,RCB,14,8,197,6-0,Alabama,7/8/1996,1,4,Baltimore Ravens / 1st / 16th pick / 2017,$1003522
81,Hayden Hurst\HursHa00,25,,12,0,245,6-4,South Carolina,8/24/1993,Rook,1,Baltimore Ravens / 1st / 25th pick / 2018,$480000
74,James Hurst\HursJa00,27,t,10,10,310,6-5,North Carolina,12/17/1991,4,5,,$1000000
8,Lamar Jackson\JackLa00,21,qb,16,7,212,6-2,Louisville,1/7/1997,Rook,8,Baltimore Ravens / 1st / 32nd pick / 2018,$480000
23,Tony Jefferson\JeffTo00,26,SS,14,14,211,5-11,Oklahoma,1/27/1992,5,6,,$1000000
27,Cyrus Jones\JoneCy00,25,,11,0,195,5-10,Alabama,11/29/1993,2,2,New England Patriots / 2nd / 60th pick / 2016,$718235
99,Matt Judon\JudoMa00,26,LB,16,8,261,6-3,Grand Valley St.,8/15/1992,2,6,Baltimore Ravens / 5th / 146th pick / 2016,$630000
4,Sam Koch\KochSa20,36,P,16,0,222,6-1,Nebraska,8/13/1982,12,3,Baltimore Ravens / 6th / 203rd pick / 2006,$2750000
41,Anthony Levine\LeviAn00,31,,16,0,207,5-11,Tennessee St.,3/27/1987,7,1,,$1400000
72,Alex Lewis\LewiAl01,26,LG,10,10,305,6-6,ColoradoNebraska,4/21/1992,2,5,Baltimore Ravens / 4th / 130th pick / 2016,$630000
50,Albert McClellan\McClAl00,32,lb,6,1,235,6-2,Marshall,6/4/1986,7,1,,$807353
88,Ty Montgomery\MontTy01,25,,6,0,216,6-0,Stanford,1/22/1993,3,1,Green Bay Packers / 3rd / 94th pick / 2015,$716500
10,Chris Moore\MoorCh00,25,,16,0,200,6-1,Cincinnati,6/16/1993,2,2,Baltimore Ravens / 4th / 107th pick / 2016,$630000
57,C.J. Mosley\MoslC.00,26,MLB,15,15,241,6-2,Alabama,6/19/1992,4,15,Baltimore Ravens / 1st / 17th pick / 2014,$8718000
48,Patrick Onwuasor\OnwuPa00,26,LB,16,12,227,6-0,ArizonaPortland St.,8/22/1992,2,8,,$630000
97,Michael Pierce\PierMi00,26,dt,14,2,340,6-0,Samford,11/6/1992,2,3,,$630000
42,Patrick Ricard\RicaPa00,24,fb,10,2,311,6-3,Maine,5/27/1994,1,0,,$555000
95,Zach Sieler\SielZa00,23,,2,0,290,6-6,Ferris St.,9/7/1995,Rook,0,Baltimore Ravens / 7th / 238th pick / 2018,$480000
68,Matt Skura\SkurMa01,25,C,16,16,313,6-3,Duke,2/17/1993,1,8,,$555000
22,Jimmy Smith\SmitJi03,30,rcb,12,10,210,6-2,Colorado,7/26/1988,7,5,Baltimore Ravens / 1st / 27th pick / 2011,$6882353
90,ZaDarius Smith\SmitZa00,26,lb,16,8,272,6-4,Kentucky,9/8/1992,3,6,Baltimore Ravens / 4th / 122nd pick / 2015,$1907000
83,Willie Snead\SneaWi00,26,WR,16,10,205,5-11,Ball St.,10/17/1992,4,6,,$1000000
79,Ronnie Stanley\StanRo00,24,T,15,15,315,6-6,Notre Dame,3/18/1994,2,9,Baltimore Ravens / 1st / 6th pick / 2016,$2312212
55,Terrell Suggs\SuggTe99,36,LB,16,16,265,6-3,Arizona St.,10/11/1982,15,10,Baltimore Ravens / 1st / 10th pick / 2003,$4000000
9,Justin Tucker\TuckJu00,29,K,16,0,180,6-1,Texas,11/21/1989,6,4,,$2950000
47,DeLance Turner\TurnDe01,23,,4,0,214,5-11,,8/23/1995,Rook,0,,$129200
96,Brent Urban\UrbaBr00,27,DE,16,16,300,6-7,Virginia,5/5/1991,4,9,Baltimore Ravens / 4th / 134th pick / 2014,$1000000
32,Eric Weddle\WeddEr99,33,FS,16,16,195,5-11,Utah,1/4/1985,11,9,San Diego Chargers / 2nd / 37th pick / 2007,$6500000
14,Tim White\WhitTi00,24,,3,0,175,5-10,Arizona St.,7/15/1994,Rook,0,,$129200
98,Brandon Williams\WillBr02,29,NT,16,16,336,6-1,Missouri Southern,2/21/1989,5,12,Baltimore Ravens / 3rd / 94th pick / 2013,$1000000
27,Darious Williams\WillDa09,25,,3,0,187,5-9,Ala-Birmingham,3/15/1993,Rook,0,,$480000
87,Maxx Williams\WillMa04,24,te,13,6,252,6-4,Minnesota,4/12/1994,3,1,Baltimore Ravens / 2nd / 55th pick / 2015,$987646
56,Tim Williams\WillTi00,25,,7,0,252,6-3,Alabama,11/12/1993,1,1,Baltimore Ravens / 3rd / 78th pick / 2017,$595000
93,Chris Wormley\WormCh00,25,nt,16,6,300,6-5,Michigan,10/25/1993,1,4,Baltimore Ravens / 3rd / 74th pick / 2017,$626000
73,Marshal Yanda\YandMa20,34,RG,16,16,305,6-3,Iowa,9/15/1984,11,12,Baltimore Ravens / 3rd / 86th pick / 2007,$7000000
40,Kenny Young\YounKe03,24,lb,16,3,234,6-1,UCLA,11/15/1994,Rook,4,Baltimore Ravens / 4th / 122nd pick / 2018,$480000
25,Tavon Young\YounTa01,24,cb,15,6,185,5-9,Temple,3/14/1994,2,5,Baltimore Ravens / 4th / 104th pick / 2016,$630000
