No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
37,Javorius Allen\AlleJa01,27,,14,0,218,6-0,USC,8/27/1991,3,2,Baltimore Ravens / 4th / 125th pick / 2015,$705000
89,Mark Andrews\AndrMa00,22,te,16,3,256,6-5,Oklahoma,9/6/1996,Rook,5,Baltimore Ravens / 3rd / 86th pick / 2018,$480000
28,Anthony Averett\AverAn00,24,,11,0,178,5-11,Alabama,11/30/1994,Rook,1,Baltimore Ravens / 4th / 118th pick / 2018,$480000
49,Chris Board\BoarCh00,23,,16,0,229,6-2,,7/23/1995,Rook,1,,$480000
54,Tyus Bowser\BowsTy00,23,,15,0,242,6-3,Houston,5/23/1995,1,1,Baltimore Ravens / 2nd / 47th pick / 2017,$718437
86,Nick Boyle\BoylNi00,25,TE,16,13,270,6-4,Delaware,2/17/1993,3,2,Baltimore Ravens / 5th / 171st pick / 2015,$705000
77,Bradley Bozeman\BozeBr00,24,lg,14,1,317,6-5,Alabama,11/24/1994,Rook,2,Baltimore Ravens / 6th / 215th pick / 2018,$480000
13,John Brown\BrowJo02,28,WR,16,15,178,5-11,Pittsburg St.,4/3/1990,4,6,Arizona Cardinals / 3rd / 91st pick / 2014,$1000000
78,Orlando Brown\BrowOr00,22,T,16,10,345,6-8,Oklahoma,5/2/1996,Rook,6,Baltimore Ravens / 3rd / 83rd pick / 2018,$480000
26,Maurice Canady\CanaMa00,24,,7,0,193,6-1,Virginia,5/26/1994,2,0,Baltimore Ravens / 6th / 209th pick / 2016,$630000
24,Brandon Carr\CarrBr99,32,LCB,16,16,210,6-0,Grand Valley St.,5/19/1986,10,7,Kansas City Chiefs / 5th / 140th pick / 2008,$4500000
36,Chuck Clark\ClarCh00,23,lb,16,2,205,6-0,Virginia Tech,4/19/1995,1,2,Baltimore Ravens / 6th / 186th pick / 2017,$555000
34,Alex Collins\CollAl00,24,RB,10,10,208,5-10,Arkansas,8/26/1994,2,3,Seattle Seahawks / 5th / 171st pick / 2016,$630000
