No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary
74,Dorance Armstrong\ArmsDo00,21,de,15,1,255,6-4,Kansas,6/10/1997,Rook,2,Dallas Cowboys / 4th / 116th pick / 2018,$480000
10,Tavon Austin\AustTa00,28,,7,0,179,5-8,West Virginia,3/15/1990,5,2,St. Louis Rams / 1st / 8th pick / 2013,$1000000
24,Chidobe Awuzie\AwuzCh00,23,CB,15,14,202,6-0,Colorado,5/24/1995,1,5,Dallas Cowboys / 2nd / 60th pick / 2017,$659709
11,Cole Beasley\BeasCo00,29,wr,16,4,180,5-8,SMU,4/26/1989,6,6,,$3250000
30,Anthony Brown\BrowAn02,25,cb,15,10,196,5-11,Purdue,12/15/1993,2,4,Dallas Cowboys / 6th / 189th pick / 2016,$630000
85,Noah Brown\BrowNo00,22,wr,8,2,225,6-2,Ohio St.,1/6/1996,1,0,Dallas Cowboys / 7th / 239th pick / 2017,$378000
19,Brice Butler\ButlBr00,28,,2,0,220,6-3,San Diego St.,1/29/1990,5,0,Oakland Raiders / 7th / 209th pick / 2013,$697059
20,Ibraheim Campbell\CampIb00,26,,4,0,210,5-11,Northwestern,5/13/1992,3,0,Cleveland Browns / 4th / 115th pick / 2015,$705000
97,Taco Charlton\CharTa00,24,de,11,7,270,6-6,Michigan,11/7/1994,1,4,Dallas Cowboys / 1st / 28th pick / 2017,$920836
71,Lael Collins\CollLa01,25,T,16,16,320,6-4,LSU,7/26/1993,3,8,,$4350000
96,Maliek Collins\CollMa00,23,DT,13,9,308,6-2,Nebraska,4/8/1995,2,5,Dallas Cowboys / 3rd / 67th pick / 2016,$755000
19,Amari Cooper\CoopAm00,24,WR,9,9,210,6-1,Alabama,6/18/1994,3,6,Oakland Raiders / 1st / 4th pick / 2015,$700000
59,Chris Covington\CoviCh01,22,,5,0,245,6-2,Indiana,1/3/1996,Rook,0,Dallas Cowboys / 6th / 193rd pick / 2018,$480000
98,Tyrone Crawford\CrawTy00,29,DE,15,15,290,6-4,Boise St.,11/22/1989,6,7,Dallas Cowboys / 3rd / 81st pick / 2012,$6000000
34,Treston Decoud\DecoTr00,25,,1,0,205,6-2,Oregon St.,8/1/1993,1,0,Houston Texans / 5th / 169th pick / 2017,$418235
21,Ezekiel Elliott\ElliEz00,23,RB,15,15,228,6-0,Ohio St.,7/22/1995,2,15,Dallas Cowboys / 1st / 4th pick / 2016,$2718758
75,Cameron Fleming\FlemCa00,26,t,14,3,320,6-6,Stanford,9/3/1992,4,2,New England Patriots / 4th / 140th pick / 2014,$1000000
35,Kavon Frazier\FrazKa00,24,fs,16,2,220,6-0,Central Michigan,8/11/1994,2,1,Dallas Cowboys / 6th / 212th pick / 2016,$630000
13,Michael Gallup\GallMi00,22,WR,16,8,198,6-1,Colorado St.,4/4/1996,Rook,4,Dallas Cowboys / 3rd / 81st pick / 2018,$480000
80,Rico Gathers\GathRi00,24,te,15,4,285,6-6,Baylor,1/7/1994,Rook,0,Dallas Cowboys / 6th / 217th pick / 2016,$480000
29,C.J. Goodwin\GoodC.00,28,,3,0,190,6-3,California (PA),2/4/1990,4,0,,$444708
94,Randy Gregory\GregRa00,26,de,14,1,255,6-5,Nebraska,11/23/1992,3,3,Dallas Cowboys / 2nd / 60th pick / 2015,$781813
38,Jeff Heath\HeatJe00,27,SS,16,16,212,6-1,Saginaw Valley St.,5/14/1991,5,5,,$1500000
17,Allen Hurns\HurnAl01,27,wr,16,7,201,6-3,Miami (FL),11/12/1991,4,3,,$2500000
95,David Irving\IrviDa00,25,,2,0,290,6-7,Iowa St.,8/18/1993,3,0,,$2238352
26,Darius Jackson\JackDa01,25,,2,0,220,6-0,East. Michigan,12/1/1993,1,0,Dallas Cowboys / 6th / 216th pick / 2016,$65294
89,Blake Jarwin\JarwBl00,24,te,16,4,260,6-5,Oklahoma St.,7/16/1994,1,3,,$555000
31,Byron Jones\JoneBy00,26,CB,16,16,200,6-1,Connecticut,9/26/1992,3,11,Dallas Cowboys / 1st / 27th pick / 2015,$1607991
6,Chris Jones\JoneCh02,29,P,16,0,205,6-0,Carson-Newman,7/21/1989,7,2,,$1200000
56,Datone Jones\JoneDa03,28,,1,0,288,6-5,UCLA,7/24/1990,5,0,Green Bay Packers / 1st / 26th pick / 2013,$790000
91,L.P. Ladouceur\LadoL.20,37,,16,0,256,6-5,California,3/13/1981,13,1,,$1015000
90,Demarcus Lawrence\LawrDe00,26,DE,16,15,265,6-3,Boise St.,4/28/1992,4,11,Dallas Cowboys / 2nd / 34th pick / 2014,$17143000
50,Sean Lee\LeexSe99,32,lb,7,5,245,6-2,Penn St.,7/22/1986,8,3,Dallas Cowboys / 2nd / 55th pick / 2010,$7000000
14,Lance Lenoir\LenoLa00,23,,7,0,210,6-0,,2/9/1995,1,0,,$129200
27,Jourdan Lewis\LewiJo01,23,cb,15,1,195,5-10,Michigan,8/31/1995,1,2,Dallas Cowboys / 3rd / 92nd pick / 2017,$5800000
73,Joe Looney\LoonJo01,28,C,16,16,315,6-3,Wake Forest,8/31/1990,6,6,San Francisco 49ers / 4th / 117th pick / 2012,$850000
2,Brett Maher\MaheBr01,29,K,16,0,183,6-1,Nebraska,11/21/1989,Rook,3,,$480000
53,Justin March-Lillard\MarcJu00,25,,16,0,222,6-0,Akron,7/5/1993,2,1,,$630000
70,Zack Martin\MartZa00,28,RG,14,14,315,6-4,Notre Dame,11/20/1990,4,11,Dallas Cowboys / 1st / 16th pick / 2014,$2000000
49,Jamize Olawale\OlawJa00,29,fb,16,4,240,6-1,North Texas,4/17/1989,6,0,,$1540000
4,Dak Prescott\PresDa01,25,QB,16,16,238,6-2,Mississippi St.,7/29/1993,2,14,Dallas Cowboys / 4th / 135th pick / 2016,$630000
61,Adam Redmond\RedmAd00,25,,10,0,300,6-6,Harvard,5/19/1993,1,1,,$480000
51,Caraun Reid\ReidCa00,27,dt,10,1,305,6-2,Princeton,11/23/1991,4,1,Detroit Lions / 5th / 158th pick / 2014,$650594
68,Christian Ringo\RingCh00,26,,1,0,298,6-1,Louisiana,3/10/1992,2,0,Green Bay Packers / 6th / 210th pick / 2015,
68,Daniel Ross\RossDa02,25,,13,0,305,6-3,,3/15/1993,1,1,,$555000
7,Cooper Rush\RushCo00,25,,1,0,225,6-3,Central Michigan,11/21/1993,1,0,,$555000
86,Dalton Schultz\SchuDa00,22,te,11,7,244,6-5,Stanford,7/11/1996,Rook,1,Dallas Cowboys / 4th / 137th pick / 2018,$480000
54,Jaylon Smith\SmitJa05,23,MLB,16,16,245,6-2,Notre Dame,6/14/1995,1,9,Dallas Cowboys / 2nd / 34th pick / 2016,$1040452
45,Rod Smith\SmitRo06,26,rb,16,1,235,6-3,Ohio St.,1/10/1992,3,1,,$705000
77,Tyron Smith\SmitTy00,28,T,13,13,320,6-5,USC,12/12/1990,7,8,Dallas Cowboys / 1st / 9th pick / 2011,$10000000
76,Xavier Sua-Filo\Sua-Xa00,27,lg,8,8,310,6-4,UCLA,1/1/1991,4,3,Houston Texans / 2nd / 33rd pick / 2014,$743529
87,Geoff Swaim\SwaiGe00,25,TE,9,9,260,6-4,Texas,9/16/1993,3,2,Dallas Cowboys / 7th / 246th pick / 2015,$705000
48,Joe Thomas\ThomJo04,27,,10,0,232,6-1,South Carolina St.,5/6/1991,4,1,,$900000
20,Darian Thompson\ThomDa05,25,,10,0,211,6-2,Boise St.,9/22/1993,2,1,New York Giants / 3rd / 71st pick / 2016,$497647
15,Deonte Thompson\ThomDe04,29,wr,8,4,204,6-0,Florida,2/14/1989,6,1,,$790000
55,Leighton Vander Esch\VandLe00,22,LB,16,11,256,6-4,Boise St.,2/8/1996,Rook,11,Dallas Cowboys / 1st / 19th pick / 2018,$480000
52,Connor Williams\WillCo00,21,LG,13,10,298,6-5,Texas,5/12/1997,Rook,4,Dallas Cowboys / 2nd / 50th pick / 2018,$480000
83,Terrance Williams\WillTe01,29,wr,3,2,210,6-2,Baylor,9/8/1989,5,0,Dallas Cowboys / 3rd / 74th pick / 2013,$3500000
57,Damien Wilson\WilsDa02,25,lb,16,7,245,6-1,Minnesota,5/28/1993,3,4,Dallas Cowboys / 4th / 127th pick / 2015,$705000
99,Antwaun Woods\WoodAn02,25,DT,15,15,318,6-1,USC,1/3/1993,2,7,,$480000
25,Xavier Woods\WoodXa00,23,FS,14,14,202,5-11,Louisiana Tech,7/26/1995,1,5,Dallas Cowboys / 6th / 191st pick / 2017,$555000
